NAME(Used only as reminder for value);VALUE;LABEL
OdBm::DisplayUnitType::DUT_GALLONS_US_PER_MINUTE;67;US gallons per minute
OdBm::DisplayUnitType::DUT_GALLONS_US_PER_HOUR;68;US gallons per hour
OdBm::DisplayUnitType::DUT_AMPERES;69;Amperes
OdBm::DisplayUnitType::DUT_KILOAMPERES;70;Kiloamperes
OdBm::DisplayUnitType::DUT_MILLIAMPERES;71;Milliamperes
OdBm::DisplayUnitType::DUT_VOLTS;72;Volts
OdBm::DisplayUnitType::DUT_KILOVOLTS;73;Kilovolts
OdBm::DisplayUnitType::DUT_MILLIVOLTS;74;Millivolts
OdBm::DisplayUnitType::DUT_HERTZ;75;Hertz
OdBm::DisplayUnitType::DUT_CYCLES_PER_SECOND;76;Cycles per second
OdBm::DisplayUnitType::DUT_LUX;77;Lux
OdBm::DisplayUnitType::DUT_FOOTCANDLES;78;Footcandles
OdBm::DisplayUnitType::DUT_FOOTLAMBERTS;79;Footlamberts
OdBm::DisplayUnitType::DUT_CANDELAS_PER_SQUARE_METER;80;Candelas per square meter
OdBm::DisplayUnitType::DUT_CANDELAS;81;Candelas
OdBm::DisplayUnitType::DUT_CANDLEPOWER;82;ODBM_CSV_NULL
OdBm::DisplayUnitType::DUT_LUMENS;83;Lumens
OdBm::DisplayUnitType::DUT_VOLT_AMPERES;84;Volt-amperes
OdBm::DisplayUnitType::DUT_KILOVOLT_AMPERES;85;Kilovolt-amperes
OdBm::DisplayUnitType::DUT_HORSEPOWER;86;Horsepower
OdBm::DisplayUnitType::DUT_NEWTONS;87;Newtons
OdBm::DisplayUnitType::DUT_DECANEWTONS;88;Decanewtons
OdBm::DisplayUnitType::DUT_KILONEWTONS;89;Kilonewtons
OdBm::DisplayUnitType::DUT_MEGANEWTONS;90;Meganewtons
OdBm::DisplayUnitType::DUT_KIPS;91;Kips
OdBm::DisplayUnitType::DUT_KILOGRAMS_FORCE;92;Kilograms force
OdBm::DisplayUnitType::DUT_TONNES_FORCE;93;Tonnes force
OdBm::DisplayUnitType::DUT_POUNDS_FORCE;94;Pounds
OdBm::DisplayUnitType::DUT_NEWTONS_PER_METER;95;Newtons per meter
OdBm::DisplayUnitType::DUT_DECANEWTONS_PER_METER;96;Decanewtons per meter
OdBm::DisplayUnitType::DUT_KILONEWTONS_PER_METER;97;Kilonewtons per meter
OdBm::DisplayUnitType::DUT_MEGANEWTONS_PER_METER;98;Meganewtons per meter
OdBm::DisplayUnitType::DUT_KIPS_PER_FOOT;99;Kips per foot
OdBm::DisplayUnitType::DUT_KILOGRAMS_FORCE_PER_METER;100;Kilograms force per meter
OdBm::DisplayUnitType::DUT_TONNES_FORCE_PER_METER;101;Tonnes force per meter
OdBm::DisplayUnitType::DUT_POUNDS_FORCE_PER_FOOT;102;Pounds per foot
OdBm::DisplayUnitType::DUT_NEWTONS_PER_SQUARE_METER;103;Newtons per square meter
